"Id","BldgType","MasVnrType_clean","MasVnrArea_clean","ExterQual","CentralAir","1stFlrSF","GrLivArea","KitchenQual_clean","GarageArea_clean","PavedDrive","WoodDeckSF","OpenPorchSF","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad","reforma"
1687,"1Fam","None",0,"Gd","Y",744,1374,"Gd",400,"Y",100,0,"80","RL","Norm","SLvl",16,15
1688,"1Fam","BrkFace",200,"Gd","Y",868,1630,"Gd",436,"Y",120,48,"60","RL","Norm","2Story",16,15
1689,"1Fam","None",0,"Gd","Y",846,1594,"Gd",434,"Y",300,48,"60","RL","Norm","2Story",16,16
1690,"1Fam","None",0,"Gd","Y",806,1489,"Gd",400,"Y",0,75,"60","RL","Norm","2Story",17,17
1691,"1Fam","None",0,"Gd","Y",698,1342,"Gd",393,"Y",100,56,"60","RL","Norm","2Story",17,17
1692,"1Fam","None",0,"Gd","Y",878,2004,"Gd",644,"Y",0,48,"60","RL","Norm","2Story",18,18
1693,"1Fam","None",0,"Gd","Y",744,1374,"Gd",400,"Y",0,0,"80","RL","RRAn","SLvl",16,16
1694,"1Fam","None",0,"TA","Y",819,1514,"TA",394,"Y",0,72,"60","RL","Norm","2Story",20,20
1695,"1Fam","None",0,"TA","Y",774,1430,"TA",400,"Y",0,0,"80","RL","Norm","SLvl",21,20
1696,"1Fam","BrkFace",210,"Gd","Y",1223,2312,"Gd",658,"Y",298,0,"60","RL","RRNn","2Story",21,21
1697,"1Fam","None",0,"TA","Y",774,1430,"TA",410,"Y",0,0,"80","RL","Norm","SLvl",21,21
1698,"1Fam","BrkFace",150,"Gd","Y",1466,2687,"Gd",810,"Y",252,30,"60","RL","Norm","2Story",20,20
1699,"1Fam","BrkFace",634,"Gd","Y",2063,2063,"Gd",815,"Y",182,56,"20","RL","Norm","1Story",26,25
1700,"1Fam","BrkFace",286,"Gd","Y",1094,2061,"Gd",647,"Y",296,102,"60","RL","Norm","2Story",25,24
1701,"1Fam","BrkFace",372,"Gd","Y",1215,2232,"Gd",623,"Y",173,165,"60","RL","Norm","2Story",27,26
1702,"1Fam","Stone",240,"Gd","Y",1696,1696,"Gd",972,"Y",120,56,"20","RL","PosN","1Story",12,12
1703,"1Fam","BrkFace",294,"Gd","Y",1658,1658,"Gd",726,"Y",144,44,"20","RL","PosN","1Story",12,12
1704,"1Fam","Stone",260,"Gd","Y",1702,1702,"Gd",844,"Y",0,69,"20","RL","Norm","1Story",13,13
1705,"1Fam","Stone",206,"Gd","Y",1432,1432,"Gd",492,"Y",297,50,"20","RL","Norm","1Story",14,14
1706,"1Fam","Stone",198,"Ex","Y",2490,2490,"Ex",795,"Y",70,226,"20","RL","PosN","1Story",15,14
1707,"1Fam","None",0,"Gd","Y",1436,1436,"Gd",529,"Y",0,121,"20","FV","Norm","1Story",12,11
1708,"1Fam","None",0,"Gd","Y",1402,1402,"Gd",625,"Y",205,126,"20","FV","Norm","1Story",12,12
1709,"1Fam","Stone",120,"Gd","Y",1530,1530,"Gd",984,"Y",212,136,"20","FV","Norm","1Story",13,12
1710,"1Fam","Stone",238,"Gd","Y",1448,1448,"Gd",692,"Y",0,140,"20","FV","Norm","1Story",14,13
1711,"1Fam","Stone",121,"Gd","Y",909,1795,"Gd",782,"Y",168,45,"60","FV","Norm","2Story",14,14
1712,"1Fam","BrkFace",288,"Gd","Y",1836,1836,"Gd",517,"Y",0,175,"20","FV","Norm","1Story",12,11
1713,"1Fam","None",0,"Gd","Y",1662,1662,"Ex",711,"Y",168,120,"20","FV","Norm","1Story",14,13
1714,"1Fam","None",0,"Gd","Y",1553,1553,"Gd",588,"Y",192,88,"20","FV","Norm","1Story",17,16
1715,"1Fam","None",0,"Gd","Y",812,1653,"Gd",628,"Y",0,45,"60","FV","Norm","2Story",17,17
1716,"1Fam","None",0,"Gd","Y",1218,1218,"Gd",576,"Y",0,178,"20","RL","Norm","1Story",13,13
1717,"1Fam","None",0,"Gd","Y",1141,1141,"Gd",484,"Y",182,0,"20","RL","Norm","1Story",14,14
1718,"1Fam","None",0,"TA","Y",1158,1158,"Gd",0,"Y",0,50,"20","RL","Norm","1Story",16,16
1719,"1Fam","None",0,"Gd","Y",871,1812,"Gd",478,"Y",146,91,"60","RL","Norm","2Story",16,16
1720,"1Fam","BrkFace",264,"Gd","Y",1512,1512,"Gd",845,"Y",210,36,"20","RL","Norm","1Story",16,16
1721,"1Fam","None",0,"Gd","Y",1114,1114,"Gd",576,"Y",248,102,"20","RL","RRAe","1Story",16,15
1722,"1Fam","None",0,"TA","Y",1114,1114,"Gd",0,"Y",0,39,"20","RL","RRAe","1Story",16,16
1723,"1Fam","None",0,"TA","Y",1114,1114,"Gd",576,"Y",0,42,"20","RL","RRAe","1Story",17,16
1724,"1Fam","BrkFace",140,"Gd","Y",1450,1450,"Gd",788,"Y",0,93,"20","RL","Norm","1Story",12,11
1725,"1Fam","BrkFace",132,"Gd","Y",913,2122,"Gd",559,"Y",0,74,"60","RL","Norm","2Story",24,23
1726,"1Fam","None",0,"Gd","Y",833,1730,"Gd",528,"Y",0,91,"60","RL","Norm","2Story",28,28
1727,"TwnhsE","None",0,"Gd","Y",1332,1332,"Gd",542,"Y",0,60,"120","RL","Norm","1Story",30,29
1728,"1Fam","None",0,"Gd","Y",754,1540,"Gd",495,"Y",140,32,"60","RL","RRAe","2Story",26,26
1729,"1Fam","BrkFace",141,"TA","Y",698,1400,"TA",465,"Y",0,48,"60","RL","Norm","2Story",34,34
1730,"Duplex","None",0,"TA","Y",964,1882,"TA",612,"Y",0,0,"90","RL","Norm","2Story",39,39
1731,"1Fam","None",0,"TA","Y",980,980,"TA",400,"Y",0,28,"20","RL","Norm","1Story",58,58
1732,"1Fam","None",0,"TA","Y",864,864,"TA",732,"Y",0,312,"20","RL","Feedr","1Story",59,59
1733,"1Fam","None",0,"TA","Y",864,864,"TA",440,"Y",158,0,"20","RL","Norm","1Story",59,59
1734,"1Fam","None",0,"TA","Y",1020,1020,"TA",288,"Y",171,0,"20","RL","Norm","1Story",55,55
1735,"1Fam","None",0,"Gd","Y",912,912,"Gd",300,"Y",0,0,"20","RL","RRAe","1Story",57,25
1736,"1Fam","BrkFace",60,"TA","Y",912,912,"TA",252,"Y",0,0,"20","RL","Feedr","1Story",58,58
1737,"1Fam","BrkFace",115,"Gd","Y",2014,2014,"Gd",864,"Y",462,0,"20","RL","Norm","1Story",40,40
1738,"1Fam","BrkFace",196,"Gd","Y",975,1755,"Gd",524,"Y",502,60,"60","RL","Norm","2Story",29,12
1739,"Twnhs","None",0,"Gd","Y",1376,3005,"Gd",704,"Y",0,177,"160","FV","Norm","2Story",16,15
1740,"TwnhsE","Stone",280,"Gd","Y",1726,1726,"Gd",561,"Y",0,254,"120","FV","Norm","1Story",12,12
1741,"TwnhsE","Stone",252,"Gd","Y",1256,1256,"Gd",641,"Y",0,169,"120","FV","Norm","1Story",12,12
1742,"TwnhsE","BrkFace",513,"Gd","Y",756,1512,"Gd",440,"Y",0,32,"160","FV","Norm","2Story",20,20
1743,"TwnhsE","BrkFace",218,"Gd","Y",713,1452,"Gd",506,"Y",0,34,"160","FV","Norm","2Story",21,21
1744,"1Fam","BrkFace",450,"Ex","Y",1694,1694,"Ex",642,"Y",501,120,"20","RL","Norm","1Story",43,12
1745,"1Fam","None",0,"Gd","Y",1740,1740,"Gd",540,"Y",228,20,"20","RL","Norm","1Story",39,39
1746,"1Fam","BrkFace",200,"Gd","Y",1487,2499,"TA",527,"Y",0,64,"80","RL","Feedr","SLvl",44,44
1747,"1Fam","None",0,"TA","Y",1285,2067,"Gd",784,"Y",297,40,"60","RL","PosN","2Story",46,46
1748,"1Fam","BrkFace",256,"TA","Y",1271,2640,"Gd",515,"Y",0,120,"60","RL","PosA","2Story",53,23
1749,"1Fam","BrkFace",128,"TA","Y",1336,1336,"TA",502,"Y",312,11,"20","RL","Feedr","1Story",51,51
1750,"1Fam","BrkFace",200,"TA","Y",1216,1216,"TA",336,"Y",0,0,"20","RL","Feedr","1Story",51,51
1751,"1Fam","BrkFace",283,"TA","Y",1316,2288,"Gd",520,"Y",321,72,"60","RL","Norm","2Story",43,28
1752,"1Fam","None",0,"TA","Y",864,864,"TA",312,"Y",0,0,"20","RL","Norm","1Story",53,53
1753,"1Fam","None",0,"TA","Y",1568,1568,"TA",440,"Y",160,40,"20","RL","Norm","1Story",53,53
1754,"1Fam","BrkFace",252,"TA","Y",1165,2061,"TA",498,"Y",0,77,"60","RL","Norm","2Story",46,46
1755,"1Fam","BrkFace",509,"TA","Y",1320,1320,"TA",495,"Y",0,20,"OTHERS","RL","Norm","SFoyer",49,49
1756,"1Fam","None",0,"TA","Y",894,894,"TA",396,"Y",0,0,"20","RL","Norm","1Story",60,60
1757,"1Fam","None",0,"TA","Y",864,864,"TA",308,"Y",0,0,"20","RL","Norm","1Story",61,61
1758,"1Fam","BrkFace",160,"TA","Y",1362,1362,"TA",768,"Y",0,0,"20","RL","Norm","1Story",63,63
1759,"1Fam","BrkFace",70,"TA","Y",1728,1728,"TA",576,"Y",0,99,"20","RL","Norm","1Story",64,64
1760,"1Fam","BrkFace",217,"TA","Y",1313,1313,"Gd",610,"Y",172,28,"20","RL","Norm","1Story",59,25
1761,"1Fam","Stone",144,"TA","Y",1292,1292,"TA",520,"Y",0,32,"20","RL","Norm","1Story",56,56
1762,"1Fam","None",0,"TA","Y",825,2140,"TA",549,"Y",0,40,"60","RL","Norm","2Story",55,55
1763,"1Fam","BrkFace",90,"TA","Y",1576,1576,"Gd",368,"Y",85,0,"80","RL","Norm","SLvl",59,59
1764,"1Fam","None",0,"TA","Y",960,960,"TA",330,"Y",0,70,"20","RL","Norm","1Story",65,65
1765,"1Fam","None",0,"Gd","Y",1691,1691,"TA",550,"Y",0,67,"20","RL","Feedr","1Story",53,53
1766,"1Fam","BrkFace",3,"TA","Y",1453,1453,"TA",530,"Y",0,49,"20","RL","Norm","1Story",59,59
1767,"1Fam","BrkFace",210,"TA","Y",1567,1567,"Gd",542,"Y",0,110,"20","RL","Norm","1Story",54,12
1768,"1Fam","BrkFace",164,"Gd","Y",1144,1144,"TA",286,"Y",257,0,"20","RL","Norm","1Story",64,64
1769,"1Fam","BrkFace",128,"TA","Y",1329,1329,"TA",441,"Y",0,0,"20","RL","Norm","1Story",60,60
1770,"1Fam","None",0,"Gd","Y",988,988,"Gd",297,"Y",156,0,"20","RL","Norm","1Story",61,22
1771,"1Fam","None",0,"TA","Y",1202,1202,"TA",304,"Y",0,35,"20","RL","Norm","1Story",64,64
1772,"1Fam","None",0,"TA","Y",1382,1382,"Gd",350,"Y",280,0,"20","RL","Norm","1Story",65,65
1773,"1Fam","None",0,"TA","Y",1200,1200,"TA",294,"Y",0,189,"20","RL","Norm","1Story",64,64
1774,"Duplex","BrkFace",657,"TA","Y",1866,1866,"TA",495,"Y",0,0,"90","RL","Norm","1Story",62,62
1775,"1Fam","BrkFace",80,"TA","Y",1062,1062,"TA",297,"Y",0,0,"20","RL","Norm","1Story",66,66
1776,"1Fam","None",0,"TA","Y",1112,1112,"TA",480,"Y",0,0,"20","RL","Norm","1Story",69,69
1777,"1Fam","None",0,"TA","Y",793,793,"Fa",240,"Y",0,0,"30","RL","Norm","1Story",75,70
1778,"1Fam","None",0,"Gd","Y",1031,1031,"Gd",230,"Y",0,0,"20","RL","Norm","1Story",68,15
1779,"1Fam","BrkFace",140,"TA","Y",1210,1210,"TA",616,"Y",208,0,"20","RL","Norm","1Story",67,67
1780,"1Fam","None",0,"TA","Y",801,1527,"TA",410,"Y",0,0,"60","RL","Artery","2Story",72,21
1781,"1Fam","None",0,"TA","Y",1200,1200,"TA",246,"Y",126,0,"20","RL","Norm","1Story",70,70
1782,"1Fam","None",0,"TA","Y",792,792,"TA",366,"Y",0,90,"20","RL","Norm","1Story",62,62
1783,"1Fam","None",0,"TA","Y",676,1352,"Gd",720,"Y",187,0,"60","RL","Norm","2Story",81,14
1784,"1Fam","None",0,"Gd","Y",717,1039,"TA",281,"N",0,0,"70","RL","Norm","2Story",120,17
1785,"1Fam","None",0,"TA","Y",1078,1078,"Ex",264,"N",0,0,"30","RL","Norm","1Story",95,70
1786,"1Fam","None",0,"TA","Y",1313,2377,"Gd",528,"Y",0,0,"50","RL","Norm","1.5Fin",105,70
1787,"1Fam","None",0,"Gd","Y",930,1690,"Gd",624,"Y",0,0,"70","RL","Artery","2Story",110,12
1788,"1Fam","None",0,"Fa","N",599,599,"Gd",0,"N",0,81,"30","RL","Artery","1Story",80,70
1789,"1Fam","None",0,"TA","N",846,846,"Gd",576,"N",0,0,"30","RL","Norm","1Story",100,70
1790,"1Fam","None",0,"TA","Y",725,725,"TA",320,"Y",0,30,"30","RL","Norm","1Story",130,22
1791,"Duplex","Stone",480,"TA","Y",1248,2544,"TA",907,"Y",0,0,"90","RL","Artery","2Story",51,51
1792,"1Fam","BrkFace",295,"TA","Y",1380,1380,"TA",364,"Y",0,0,"20","RL","Norm","1Story",57,57
1793,"1Fam","None",0,"Fa","Y",1040,1040,"TA",480,"Y",0,0,"20","RL","Norm","1Story",53,53
1794,"1Fam","None",0,"Gd","Y",951,951,"Gd",480,"Y",0,0,"20","RL","Norm","1Story",62,13
1795,"1Fam","Stone",143,"TA","Y",1105,1105,"TA",308,"Y",0,0,"20","RL","Norm","1Story",63,63
1796,"1Fam","BrkFace",82,"TA","Y",1142,1142,"TA",384,"Y",0,28,"20","RL","Norm","1Story",62,62
1797,"1Fam","None",0,"TA","N",765,1133,"TA",900,"Y",0,0,"50","RL","Artery","1.5Fin",70,70
1798,"1Fam","None",0,"TA","Y",1041,1041,"TA",294,"Y",0,0,"20","RL","Norm","1Story",62,62
1799,"1Fam","None",0,"TA","Y",732,732,"TA",240,"Y",0,68,"20","RL","Norm","1Story",68,68
1800,"1Fam","None",0,"TA","Y",1183,1183,"TA",288,"Y",0,0,"80","RL","Norm","SLvl",61,61
1801,"1Fam","None",0,"TA","Y",832,1461,"TA",384,"Y",0,204,"50","RL","Artery","1.5Fin",71,24
1802,"1Fam","None",0,"TA","Y",1064,1495,"TA",576,"Y",180,36,"50","RL","Artery","1.5Fin",72,26
1803,"1Fam","BrkFace",420,"TA","Y",993,1806,"TA",483,"Y",0,55,"60","RL","Norm","2Story",56,56
1804,"Duplex","BrkFace",124,"TA","Y",941,941,"Gd",564,"Y",0,40,"90","RL","Norm","SFoyer",42,42
1805,"1Fam","None",0,"TA","Y",1045,1045,"TA",264,"Y",0,0,"20","RL","Norm","1Story",57,57
1806,"1Fam","None",0,"TA","Y",861,1378,"Gd",162,"P",54,0,"50","RM","Norm","1.5Fin",85,22
1807,"Duplex","None",0,"TA","N",972,1944,"TA",324,"N",0,28,"90","RM","Norm","2Story",110,70
1808,"1Fam","None",0,"TA","Y",810,1306,"Gd",472,"N",0,0,"50","RM","Norm","1.5Fin",110,17
1809,"1Fam","None",0,"Gd","Y",764,1464,"TA",0,"N",0,0,"70","RM","Norm","2Story",110,18
1810,"1Fam","None",0,"TA","Y",868,1558,"TA",400,"Y",0,36,"70","RM","Norm","2Story",81,70
1811,"2fmCon","None",0,"Fa","N",1101,1701,"Fa",0,"N",0,0,"190","RM","Artery","2Story",100,70
1812,"1Fam","None",0,"TA","N",801,1447,"TA",0,"N",80,0,"50","RM","Norm","1.5Fin",110,70
1813,"1Fam","None",0,"TA","Y",768,1328,"TA",308,"Y",0,12,"50","RM","Norm","1.5Fin",70,50
1814,"1Fam","None",0,"TA","Y",861,861,"TA",288,"N",0,0,"30","RM","Norm","1Story",100,70
1815,"1Fam","None",0,"TA","N",612,612,"TA",308,"N",0,0,"30","RM","Norm","1Story",80,70
1816,"1Fam","None",0,"Gd","Y",792,792,"TA",287,"Y",0,0,"30","RM","Norm","1Story",97,70
1817,"1Fam","None",0,"Gd","Y",833,1510,"Gd",720,"N",0,0,"70","RM","Norm","2Story",110,70
1818,"1Fam","None",0,"TA","Y",1090,2007,"Ex",357,"Y",0,235,"70","RM","Artery","2Story",120,70
1819,"1Fam","None",0,"TA","Y",664,1288,"Ex",280,"N",0,103,"70","RM","Norm","2Story",103,13
1820,"1Fam","None",0,"TA","Y",816,816,"TA",0,"N",0,33,"30","OTHER","Norm","1Story",110,70
1821,"1Fam","None",0,"Fa","Y",1044,1480,"TA",207,"Y",0,0,"50","RM","Norm","1.5Fin",100,70
1822,"1Fam","None",0,"TA","Y",780,1521,"Gd",640,"Y",0,0,"70","RM","Norm","2Story",110,18
1823,"1Fam","None",0,"TA","N",797,797,"TA",0,"N",0,36,"30","OTHER","Norm","1Story",120,70
1824,"1Fam","None",0,"TA","N",1432,1432,"Gd",216,"Y",266,61,"30","RL","Norm","1Story",97,70
1825,"1Fam","None",0,"TA","Y",1001,1654,"TA",336,"N",244,60,"70","RL","RRAn","1.5Fin",90,38
1826,"1Fam","BrkFace",444,"TA","Y",822,1142,"TA",320,"Y",0,0,"50","RM","Norm","1.5Fin",96,70
1827,"1Fam","None",0,"TA","Y",995,995,"TA",264,"Y",0,15,"30","RM","Norm","1Story",95,21
1828,"1Fam","None",0,"TA","Y",994,1582,"TA",250,"Y",189,0,"50","RM","Norm","1.5Fin",82,70
1829,"1Fam","None",0,"TA","Y",1072,1072,"TA",1184,"P",0,0,"30","RM","Norm","1Story",95,70
1830,"1Fam","None",0,"TA","Y",1048,1768,"TA",576,"Y",0,0,"70","RM","Norm","2Story",105,70
1831,"1Fam","None",0,"TA","Y",1272,1944,"TA",216,"N",24,28,"70","RM","Norm","2Story",105,26
1832,"Duplex","None",0,"TA","N",1088,2128,"TA",0,"Y",0,56,"90","RM","Norm","2Story",98,70
1833,"1Fam","None",0,"TA","Y",1146,1930,"TA",316,"Y",0,0,"70","RM","Norm","2Story",93,70
1834,"1Fam","None",0,"TA","Y",741,1427,"Gd",379,"Y",0,24,"70","RM","Feedr","2Story",105,18
1835,"2fmCon","Stone",188,"TA","N",978,1864,"TA",0,"N",0,188,"190","RM","Feedr","2.5Unf",118,20
1836,"1Fam","None",0,"TA","Y",1204,1666,"TA",384,"Y",0,0,"50","RM","Norm","1.5Fin",93,70
1837,"1Fam","None",0,"TA","Y",892,892,"Gd",0,"N",0,0,"OTHERS","RM","Norm","SFoyer",97,70
1838,"2fmCon","None",0,"TA","Y",754,1403,"TA",308,"Y",0,0,"190","RM","Artery","2Story",105,55
1839,"1Fam","None",0,"TA","Y",704,704,"Fa",220,"Y",0,0,"20","RL","Norm","1Story",74,19
1840,"Duplex","None",0,"TA","Y",1200,1200,"TA",0,"Y",120,0,"90","RL","Norm","1Story",33,32
1841,"Duplex","None",0,"TA","Y",1152,1152,"TA",252,"N",0,0,"90","RL","Norm","SFoyer",42,42
1842,"1Fam","None",0,"TA","N",687,1112,"TA",226,"N",0,0,"50","RL","Norm","1.5Fin",86,70
1843,"1Fam","BrkFace",172,"TA","Y",1052,1052,"TA",668,"Y",0,215,"20","RL","Norm","1Story",53,53
1844,"1Fam","BrkFace",23,"TA","Y",1034,1034,"TA",504,"Y",0,0,"OTHERS","RL","Norm","SFoyer",42,42
1845,"1Fam","None",0,"TA","Y",904,1774,"TA",384,"Y",290,40,"80","RL","Norm","SLvl",59,59
1846,"1Fam","BrkFace",54,"TA","Y",1138,1138,"TA",480,"Y",0,0,"80","RL","Norm","SLvl",60,60
1847,"1Fam","BrkFace",366,"TA","Y",2071,2071,"TA",336,"Y",131,28,"80","RL","Norm","SLvl",64,64
1848,"1Fam","None",0,"TA","N",660,660,"Fa",0,"N",0,0,"20","RL","Norm","1Story",73,70
1849,"1Fam","None",0,"TA","Y",1383,1383,"TA",498,"Y",0,0,"20","RL","Norm","1Story",66,66
1850,"1Fam","None",0,"TA","Y",1073,1073,"TA",340,"Y",0,0,"20","RL","Norm","1Story",64,64
1851,"1Fam","None",0,"TA","Y",892,1639,"Gd",240,"Y",0,50,"60","RL","Norm","2Story",74,70
1852,"1Fam","None",0,"TA","Y",1089,1089,"TA",252,"P",328,0,"20","RL","Norm","1Story",66,66
1853,"TwnhsE","BrkFace",149,"Gd","Y",1049,1049,"Gd",266,"Y",0,105,"120","RL","Norm","1Story",36,36
1854,"1Fam","None",0,"Gd","Y",1061,1061,"Gd",462,"Y",114,36,"80","RL","Feedr","SLvl",30,29
1855,"1Fam","BrkFace",100,"Gd","Y",1338,1338,"Gd",576,"Y",0,0,"80","RL","Norm","SLvl",37,37
1856,"1Fam","None",0,"Gd","Y",1079,1879,"Gd",473,"Y",400,100,"60","RL","Norm","2Story",27,26
1857,"1Fam","None",0,"Gd","Y",1288,2016,"TA",576,"P",0,0,"70","RL","Feedr","2Story",140,13
1858,"Duplex","None",0,"TA","Y",1114,2228,"TA",720,"Y",73,0,"90","RL","Feedr","2Story",41,41
1859,"Duplex","None",0,"TA","Y",1535,1535,"TA",400,"Y",0,0,"90","RL","Norm","1Story",41,41
1860,"Duplex","BrkFace",216,"TA","Y",1229,1229,"Gd",672,"Y",120,0,"90","RL","Feedr","SFoyer",41,41
1861,"Duplex","None",0,"TA","Y",1513,1513,"TA",400,"Y",0,0,"90","RL","Norm","1Story",41,41
1862,"Duplex","BrkFace",23,"TA","Y",1168,2787,"TA",820,"Y",312,0,"90","RL","Norm","2Story",20,20
1863,"Duplex","BrkFace",23,"TA","Y",1168,2787,"TA",820,"Y",312,0,"90","RL","Feedr","2Story",20,20
1864,"Duplex","BrkFace",23,"TA","Y",1168,2787,"TA",820,"Y",312,0,"90","RL","Feedr","2Story",20,20
1865,"1Fam","Stone",242,"Ex","Y",1680,1680,"Ex",1138,"Y",185,24,"20","RL","Norm","1Story",11,11
1866,"1Fam","Stone",364,"Ex","Y",1720,1720,"Ex",846,"Y",208,104,"20","RL","Norm","1Story",12,12
1867,"1Fam","None",0,"Gd","Y",1468,1468,"Gd",904,"Y",192,142,"20","RL","Norm","1Story",12,12
1868,"1Fam","Stone",352,"Gd","Y",1838,1838,"Gd",524,"Y",154,222,"20","RL","Norm","1Story",13,12
1869,"1Fam","None",0,"Gd","Y",1290,1290,"Gd",662,"Y",168,0,"20","RL","Norm","1Story",13,13
1870,"1Fam","BrkFace",140,"Gd","Y",1254,1254,"Gd",810,"Y",168,92,"20","RL","Norm","1Story",12,12
1871,"1Fam","Stone",76,"Gd","Y",1498,1498,"Gd",844,"Y",144,98,"20","RL","Norm","1Story",15,14
1872,"1Fam","None",0,"Gd","Y",704,1422,"Gd",440,"Y",36,28,"60","RL","Norm","2Story",15,14
1873,"1Fam","None",0,"Gd","Y",944,1759,"Gd",525,"Y",150,193,"60","RL","Norm","2Story",28,27
1874,"1Fam","None",0,"TA","Y",990,990,"TA",440,"Y",66,0,"20","RL","Norm","1Story",26,26
1875,"1Fam","None",0,"TA","Y",1463,1463,"TA",539,"Y",0,81,"20","RL","PosN","1Story",22,22
1876,"1Fam","BrkFace",120,"TA","Y",928,1772,"TA",492,"Y",150,96,"60","RL","Norm","2Story",22,22
1877,"1Fam","BrkFace",68,"Gd","Y",1444,1444,"Gd",577,"Y",144,40,"20","RL","Norm","1Story",18,19
1878,"1Fam","BrkFace",180,"Gd","Y",1492,1492,"Gd",608,"Y",0,114,"20","RL","Norm","1Story",19,19
1879,"1Fam","BrkFace",76,"TA","Y",907,907,"TA",343,"Y",72,0,"20","RL","Norm","1Story",42,42
1880,"1Fam","BrkFace",40,"TA","Y",914,914,"TA",444,"Y",0,0,"20","RL","Norm","1Story",41,41
1881,"1Fam","None",0,"Gd","Y",1611,1611,"Gd",1231,"Y",262,93,"20","RL","Norm","1Story",18,18
1882,"1Fam","BrkFace",198,"Gd","Y",1068,2184,"Gd",570,"Y",192,132,"60","RL","Norm","2Story",17,17
1883,"1Fam","None",0,"Gd","Y",840,1725,"Gd",550,"Y",0,48,"60","RL","Norm","2Story",18,18
1884,"1Fam","None",0,"Gd","Y",944,1870,"Gd",608,"Y",256,43,"60","RL","Norm","2Story",19,19
1885,"1Fam","BrkFace",260,"Gd","Y",1513,1513,"Gd",521,"Y",135,34,"20","RL","Feedr","1Story",21,20
1886,"1Fam","BrkFace",164,"Gd","Y",1828,1828,"Gd",523,"Y",194,144,"20","RL","Norm","1Story",18,17
1887,"1Fam","BrkFace",209,"Gd","Y",1417,1417,"Gd",511,"Y",60,0,"20","RL","Norm","1Story",23,22
1888,"1Fam","BrkFace",180,"Gd","Y",1602,1602,"Gd",810,"Y",0,48,"20","RL","Norm","1Story",13,13
1889,"1Fam","None",0,"Gd","Y",608,1396,"Gd",440,"Y",100,36,"60","RL","Norm","2Story",13,13
1890,"1Fam","None",0,"TA","Y",1149,1149,"TA",544,"Y",0,240,"20","RL","Norm","1Story",60,49
1891,"TwnhsE","BrkFace",80,"TA","Y",1072,1072,"TA",525,"Y",0,28,"OTHERS","RM","Norm","SFoyer",15,14
1892,"1Fam","None",0,"TA","Y",876,876,"TA",320,"Y",0,0,"20","RL","Norm","1Story",61,61
1893,"1Fam","None",0,"TA","Y",1368,1368,"TA",195,"Y",0,41,"20","RL","Norm","1Story",70,70
1894,"Duplex","BrkFace",74,"TA","Y",1678,1678,"TA",0,"Y",0,0,"90","RL","Norm","1Story",61,61
1895,"1Fam","BrkFace",259,"TA","Y",1560,1560,"TA",313,"Y",0,0,"20","RL","Norm","1Story",64,64
1896,"1Fam","None",0,"TA","Y",854,1298,"TA",256,"Y",84,0,"50","RL","Norm","1.5Fin",79,70
1897,"1Fam","BrkFace",88,"TA","Y",832,1268,"TA",250,"Y",0,0,"50","OTHER","Norm","1.5Fin",82,70
1898,"1Fam","None",0,"TA","Y",647,1242,"TA",180,"Y",329,96,"70","RL","Feedr","2Story",85,70
1899,"1Fam","None",0,"Gd","Y",1232,1232,"Gd",440,"Y",0,0,"30","RL","Norm","1Story",104,20
1900,"1Fam","None",0,"TA","Y",628,1228,"TA",215,"Y",0,113,"70","RL","Norm","2Story",102,30
1901,"1Fam","None",0,"TA","Y",840,1567,"TA",440,"Y",0,21,"50","RL","Norm","1.5Fin",80,70
1902,"1Fam","None",0,"TA","Y",1273,1273,"TA",307,"Y",483,0,"20","RL","Norm","1Story",60,60
1903,"Duplex","None",0,"TA","Y",1240,2480,"TA",400,"Y",0,0,"90","RL","Norm","2.5Unf",80,70
1904,"1Fam","None",0,"TA","Y",1112,1112,"TA",390,"Y",0,0,"20","RL","Feedr","1Story",66,66
1905,"1Fam","Stone",132,"TA","Y",1561,1561,"TA",463,"Y",0,148,"20","RL","Norm","1Story",60,60
1906,"1Fam","None",0,"TA","N",986,1523,"Fa",295,"Y",0,0,"50","RL","Norm","1.5Fin",71,15
1907,"1Fam","Stone",420,"TA","Y",1906,1906,"TA",576,"Y",0,201,"20","RL","PosA","1Story",66,66
1908,"Twnhs","None",0,"TA","Y",516,1032,"TA",452,"Y",279,0,"160","RM","Norm","2Story",40,40
1909,"TwnhsE","None",0,"TA","Y",561,1229,"Gd",462,"Y",176,0,"160","RM","Norm","2Story",40,28
1910,"Twnhs","None",0,"TA","Y",561,1229,"TA",462,"Y",154,0,"160","RM","Norm","2Story",40,40
1911,"1Fam","BrkFace",242,"TA","Y",1182,1982,"TA",501,"Y",400,112,"80","RL","Norm","SLvl",34,34
1912,"1Fam","None",0,"Gd","Y",2365,2365,"Ex",551,"Y",200,144,"20","RL","Norm","1Story",49,11
1913,"1Fam","None",0,"TA","N",928,2168,"Gd",576,"Y",467,160,"70","RM","Norm","2Story",120,27
1914,"1Fam","None",0,"TA","N",572,572,"TA",200,"N",0,0,"30","OTHER","Norm","1Story",95,70
1915,"TwnhsE","Stone",174,"Ex","Y",1648,1648,"Ex",482,"Y",162,53,"120","RM","Norm","1Story",13,12
1916,"1Fam","None",0,"Fa","N",810,810,"TA",280,"N",119,24,"30","OTHER","Norm","1Story",110,70
