"Id","BldgType","MasVnrType_clean","MasVnrArea_clean","ExterQual","CentralAir","1stFlrSF","GrLivArea","KitchenQual_clean","GarageArea_clean","PavedDrive","WoodDeckSF","OpenPorchSF","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad","reforma","averagePrice_surface"
205,"1Fam","None",0,"TA","Y",720,1284,"TA",240,"Y",0,35,"50","RM","Norm","1.5Fin",73,70,85.6697819314642
206,"1Fam","None",0,"TA","Y",1442,1442,"TA",500,"Y",0,34,"20","RL","Norm","1Story",30,30,125.173370319001
207,"1Fam","None",0,"TA","Y",1696,1696,"TA",349,"Y",0,30,"20","RL","RRAe","1Story",58,58,84.8466981132076
208,"1Fam","None",0,"TA","Y",1100,1100,"TA",312,"Y",355,0,"20","RL","Norm","1Story",60,60,128.181818181818
209,"1Fam","BrkFace",128,"Gd","Y",1180,2062,"TA",454,"Y",60,55,"60","RL","Norm","2Story",32,31,134.335596508244
210,"1Fam","Stone",260,"TA","Y",1092,1092,"TA",504,"Y",0,0,"20","RL","Norm","1Story",56,56,132.783882783883
211,"1Fam","None",0,"TA","N",864,864,"TA",0,"Y",0,0,"30","RL","Norm","1Story",95,70,113.425925925926
212,"1Fam","None",0,"TA","Y",1212,1212,"Gd",460,"Y",100,22,"20","RL","Norm","1Story",11,11,153.465346534653
213,"1Fam","None",0,"TA","Y",932,1852,"Gd",644,"Y",168,108,"60","FV","Norm","2Story",11,11,136.435205183585
214,"1Fam","None",0,"TA","Y",990,990,"TA",576,"Y",224,0,"20","RL","Norm","1Story",25,25,157.575757575758
215,"1Fam","BrkFace",153,"TA","Y",689,1392,"TA",299,"Y",0,36,"60","RL","Norm","2Story",43,43,116.199712643678
216,"1Fam","BrkFace",64,"TA","Y",1236,1236,"Gd",447,"Y",0,0,"20","RL","Norm","1Story",63,24,108.778317152104
217,"1Fam","BrkFace",266,"Gd","Y",1436,1436,"Gd",484,"Y",139,98,"20","RL","Norm","1Story",16,16,146.239554317549
218,"1Fam","None",0,"TA","N",810,1328,"TA",210,"Y",0,172,"70","RM","Norm","2Story",95,70,80.5722891566265
219,"1Fam","BrkFace",312,"Gd","Y",1137,1954,"Gd",431,"Y",0,119,"50","RL","Norm","1.5Fin",81,14,159.416581371546
220,"TwnhsE","BrkFace",16,"Gd","Y",1248,1248,"Gd",438,"Y",108,0,"120","RL","Norm","1Story",15,14,134.00641025641
221,"1Fam","None",0,"Gd","Y",1498,1498,"Gd",675,"Y",351,33,"20","RL","Norm","1Story",14,14,136.782376502003
222,"1Fam","None",0,"Gd","Y",1010,2267,"Gd",390,"Y",120,46,"60","RL","Norm","2Story",18,18,88.2223202470225
223,"1Fam","None",0,"TA","Y",811,1552,"TA",434,"Y",209,208,"60","RL","RRAn","2Story",45,45,115.914948453608
224,"1Fam","None",0,"TA","Y",864,864,"TA",576,"Y",216,0,"20","RL","Norm","1Story",49,49,112.268518518519
225,"1Fam","BrkFace",922,"Ex","Y",2392,2392,"Ex",968,"Y",248,105,"20","RL","Norm","1Story",17,17,161.475752508361
226,"Twnhs","BrkFace",142,"TA","Y",630,1302,"TA",280,"Y",0,0,"160","RM","Norm","2Story",49,49,86.0215053763441
227,"1Fam","BrkFace",290,"Gd","Y",1214,2520,"Gd",721,"Y",224,114,"60","RL","Norm","2Story",25,25,115.079365079365
228,"Twnhs","BrkFace",127,"TA","Y",483,987,"TA",280,"Y",0,0,"160","RM","Norm","2Story",50,50,107.396149949341
229,"1Fam","None",0,"TA","Y",912,912,"TA",336,"Y",0,0,"20","RL","Feedr","1Story",53,53,137.061403508772
230,"TwnhsE","BrkFace",16,"Gd","Y",1555,1555,"Gd",430,"Y",143,20,"120","RL","Norm","1Story",15,14,123.79421221865
231,"1Fam","BrkFace",220,"TA","Y",1194,1194,"TA",312,"Y",0,0,"20","RL","Norm","1Story",61,61,123.953098827471
232,"1Fam","BrkFace",506,"Gd","Y",1490,2794,"Ex",810,"Y",0,146,"60","RL","Norm","2Story",25,24,144.237652111668
233,"Twnhs","BrkFace",297,"TA","Y",483,987,"TA",288,"Y",0,0,"160","RM","Norm","2Story",48,48,95.7446808510638
234,"1Fam","None",0,"TA","Y",894,894,"TA",308,"Y",365,0,"20","RL","Norm","1Story",44,44,143.400447427293
235,"1Fam","None",0,"Gd","Y",860,1960,"Gd",440,"Y",288,48,"60","RL","Norm","2Story",18,18,110.459183673469
236,"TwnhsE","BrkFace",604,"TA","Y",483,987,"TA",264,"Y",0,0,"160","RM","Norm","2Story",49,49,90.6788247213779
237,"1Fam","BrkFace",98,"Gd","Y",1414,1414,"Gd",494,"Y",132,105,"20","RL","Norm","1Story",16,16,131.188118811881
238,"1Fam","None",0,"Gd","Y",1014,1744,"Gd",457,"Y",370,70,"60","RL","RRNe","2Story",27,17,111.525229357798
239,"1Fam","BrkFace",254,"Ex","Y",1694,1694,"Gd",818,"Y",168,228,"20","RL","Norm","1Story",13,13,187.721369539551
240,"1Fam","None",0,"TA","Y",798,1487,"TA",220,"Y",0,140,"50","RL","Norm","1.5Fin",75,70,75.9919300605246
241,"1Fam","Stone",36,"Gd","Y",1566,1566,"Gd",750,"Y",144,168,"20","FV","Norm","1Story",12,12,167.624521072797
242,"1Fam","None",0,"TA","Y",866,866,"Gd",0,"Y",58,42,"30","RM","Norm","1Story",75,23,127.598152424942
243,"1Fam","None",0,"TA","N",889,1440,"TA",352,"Y",0,0,"50","RM","Norm","1.5Fin",120,70,54.8611111111111
244,"TwnhsE","None",0,"TA","Y",626,1217,"TA",288,"Y",0,28,"160","RL","Norm","2Story",40,40,98.6031224322104
245,"1Fam","None",0,"Gd","Y",1222,2110,"Gd",463,"Y",0,130,"60","RL","Norm","2Story",26,18,97.1563981042654
246,"1Fam","BrkFace",102,"TA","Y",1872,1872,"TA",604,"Y",197,39,"20","RL","Norm","1Story",32,32,129.00641025641
247,"2fmCon","None",0,"TA","N",908,1928,"Fa",440,"Y",0,60,"190","RM","Norm","2Story",110,70,71.0580912863071
248,"1Fam","None",0,"TA","Y",1375,1375,"TA",451,"Y",0,30,"20","RL","Norm","1Story",66,66,101.818181818182
249,"1Fam","BrkFace",101,"Gd","Y",840,1668,"Gd",500,"Y",144,68,"60","RL","Norm","2Story",17,17,107.913669064748
250,"1Fam","BrkCmn",472,"Gd","Y",1444,2144,"Gd",389,"Y",0,98,"50","RL","Norm","1.5Fin",62,14,129.19776119403
251,"1Fam","None",0,"TA","Y",1306,1306,"Fa",0,"Y",263,0,"30","RL","Norm","1Story",80,54,58.5758039816233
252,"TwnhsE","Stone",481,"Gd","Y",1625,1625,"Gd",538,"Y",123,0,"120","RM","Norm","1Story",14,13,144.615384615385
253,"1Fam","None",0,"Gd","Y",798,1640,"Gd",520,"Y",138,45,"60","RL","Norm","2Story",16,16,105.487804878049
254,"1Fam","BrkFace",108,"TA","Y",1302,1302,"Gd",309,"Y",333,0,"80","RL","Norm","SLvl",56,29,121.351766513057
255,"1Fam","None",0,"TA","Y",1314,1314,"TA",294,"Y",250,0,"20","RL","Norm","1Story",63,63,110.350076103501
256,"1Fam","BrkFace",302,"Gd","Y",1005,2291,"Gd",429,"Y",192,0,"60","RL","Norm","2Story",21,21,100.392841553907
257,"1Fam","None",0,"Gd","Y",864,1728,"Gd",673,"Y",216,56,"60","FV","Norm","2Story",17,17,120.081018518519
258,"1Fam","Stone",180,"Gd","Y",1604,1604,"Gd",660,"Y",123,110,"20","RL","Norm","1Story",14,14,137.15710723192
259,"1Fam","BrkFace",172,"Gd","Y",963,1792,"Gd",564,"Y",0,96,"60","RL","Norm","2Story",19,19,129.185267857143
260,"1Fam","None",0,"TA","Y",882,882,"TA",308,"Y",0,45,"20","RM","Norm","1Story",64,64,109.977324263039
261,"1Fam","BrkFace",399,"TA","Y",1382,1382,"TA",884,"Y",0,0,"80","RL","Artery","SLvl",58,58,127.351664254703
262,"1Fam","Stone",270,"Gd","Y",1482,2574,"Ex",868,"Y",0,148,"60","RL","Norm","2Story",13,13,107.226107226107
263,"1Fam","BrkFace",46,"TA","Y",1212,1212,"TA",492,"Y",292,12,"80","RL","Norm","SLvl",43,25,124.587458745875
264,"1Fam","None",0,"TA","Y",926,1316,"TA",484,"Y",0,0,"50","RM","Norm","1.5Fin",91,19,98.7841945288754
265,"1Fam","None",0,"TA","N",764,764,"TA",504,"N",0,0,"30","RM","Artery","1Story",95,16,95.5497382198953
266,"1Fam","BrkFace",210,"TA","Y",1422,1422,"Gd",576,"Y",276,0,"20","RL","Norm","1Story",39,39,123.417721518987
267,"1Fam","None",0,"TA","Y",802,1511,"TA",413,"Y",95,75,"60","RL","Norm","2Story",23,23,122.435473196559
268,"1Fam","None",0,"TA","Y",1052,2192,"Gd",240,"Y",262,24,"OTHERS","RL","Norm","2.5Fin",81,23,81.8886861313869
269,"1Fam","None",0,"TA","Y",778,778,"TA",924,"Y",0,25,"30","RM","Norm","1Story",80,65,154.884318766067
270,"1Fam","BrkFace",174,"TA","Y",1113,1113,"TA",504,"Y",370,30,"20","RL","Norm","1Story",44,44,132.973944294699
271,"1Fam","None",0,"Gd","Y",1095,1939,"Gd",1053,"Y",192,51,"60","FV","Norm","2Story",14,14,137.184115523466
272,"1Fam","None",0,"TA","Y",1363,1363,"TA",439,"Y",81,0,"20","RL","Norm","1Story",66,15,177.182685253118
273,"1Fam","BrkFace",348,"Gd","Y",1164,2270,"Gd",671,"Y",132,57,"60","RL","Norm","2Story",21,13,127.753303964758
274,"1Fam","BrkCmn",183,"TA","Y",1632,1632,"TA",338,"Y",289,0,"20","RL","Feedr","1Story",62,32,85.171568627451
275,"1Fam","None",0,"TA","Y",816,816,"TA",264,"Y",168,0,"20","RL","Norm","1Story",38,38,152.573529411765
276,"1Fam","None",0,"Gd","N",952,1548,"Ex",672,"Y",74,0,"50","RL","Norm","1.5Fin",95,13,132.428940568475
277,"1Fam","None",0,"Gd","Y",1560,1560,"Gd",573,"Y",100,150,"20","RL","Norm","1Story",17,17,128.846153846154
278,"1Fam","None",0,"TA","Y",864,864,"TA",400,"Y",0,0,"20","RL","Norm","1Story",69,69,163.194444444444
279,"1Fam","BrkFace",315,"Ex","Y",2121,2121,"Ex",732,"Y",124,98,"20","RL","Norm","1Story",14,13,195.802923149458
280,"1Fam","BrkFace",299,"TA","Y",1156,2022,"TA",505,"Y",288,117,"60","RL","Norm","2Story",43,43,94.9554896142433
281,"1Fam","BrkFace",340,"Gd","Y",1175,1982,"Gd",575,"Y",0,84,"60","RL","Norm","2Story",31,31,115.287588294652
282,"1Fam","Stone",68,"Gd","Y",1262,1262,"Gd",572,"Y",0,120,"20","FV","Norm","1Story",14,14,146.592709984152
283,"Twnhs","Stone",166,"Gd","Y",1314,1314,"Gd",626,"Y",172,62,"120","RL","Norm","1Story",13,12,157.914764079148
284,"1Fam","Stone",72,"Gd","Y",1468,1468,"Gd",898,"Y",210,150,"20","RL","Feedr","1Story",12,11,166.621253405995
285,"TwnhsE","None",0,"Gd","Y",1575,1575,"Gd",529,"Y",0,0,"120","RL","Norm","1Story",28,28,113.777777777778
286,"TwnhsE","None",0,"Gd","Y",625,1250,"Gd",528,"Y",0,54,"160","FV","Norm","2Story",14,13,131.76
287,"1Fam","None",0,"TA","Y",1085,1734,"Gd",440,"Y",0,0,"50","RL","Norm","1.5Fin",58,39,91.6955017301038
288,"1Fam","None",0,"TA","Y",858,858,"TA",0,"Y",0,0,"20","RL","Norm","1Story",49,49,102.564102564103
289,"1Fam","BrkFace",31,"TA","Y",900,900,"TA",280,"Y",0,0,"20","RL","Norm","1Story",53,53,135.555555555556
290,"1Fam","None",0,"TA","Y",698,1396,"TA",384,"Y",0,0,"70","RL","RRAn","2Story",105,17,110.010744985673
291,"1Fam","None",0,"Gd","Y",1079,1919,"Gd",685,"Y",0,51,"60","RL","Norm","2Story",14,14,121.537258989057
292,"2fmCon","None",0,"TA","N",936,1716,"Fa",0,"N",0,184,"190","RL","Norm","2Story",108,20,79.1958041958042
293,"1Fam","None",0,"TA","Y",1148,1716,"TA",281,"Y",0,0,"50","RL","Norm","1.5Fin",71,12,76.3403263403263
294,"1Fam","BrkFace",34,"TA","Y",1468,2263,"Gd",539,"Y",0,250,"60","RL","PosA","2Story",43,26,103.844454264251
295,"1Fam","Stone",238,"TA","Y",1644,1644,"TA",418,"Y",110,0,"20","RL","Norm","1Story",67,67,101.581508515815
296,"1Fam","None",0,"TA","Y",1003,1003,"TA",588,"Y",120,0,"80","RL","Norm","SLvl",36,36,142.073778664008
297,"1Fam","None",0,"TA","Y",910,1558,"TA",282,"Y",289,0,"50","RM","Norm","1.5Fin",70,70,97.5609756097561
298,"1Fam","BrkFace",1600,"Gd","Y",975,1950,"Gd",576,"Y",0,10,"60","FV","Norm","2Story",23,22,122.564102564103
299,"1Fam","BrkFace",365,"Gd","Y",1041,1743,"TA",539,"Y",224,0,"60","RL","Norm","2Story",52,52,100.401606425703
300,"1Fam","None",0,"TA","Y",1152,1152,"Gd",300,"Y",0,36,"20","RL","Norm","1Story",70,16,137.586805555556
301,"2fmCon","BrkFace",56,"TA","Y",1336,1336,"TA",375,"Y",0,0,"190","RL","Norm","1Story",67,67,117.51497005988
302,"1Fam","None",0,"Gd","Y",1210,2452,"Gd",683,"Y",208,50,"60","RL","Norm","2Story",22,21,108.890701468189
303,"1Fam","BrkFace",150,"Gd","Y",1541,1541,"Gd",843,"Y",468,81,"20","RL","Norm","1Story",19,18,133.030499675535
304,"1Fam","None",0,"TA","Y",894,894,"TA",552,"Y",256,0,"20","RL","Norm","1Story",48,48,167.673378076063
305,"1Fam","None",0,"TA","Y",1675,3493,"Gd",870,"Y",302,0,"OTHERS","RM","Norm","2.5Fin",140,18,84.4546235327798
306,"1Fam","Stone",246,"Gd","Y",2000,2000,"Gd",888,"Y",168,0,"20","RL","Norm","1Story",16,15,152.95
307,"1Fam","BrkFace",246,"Gd","Y",1122,2243,"Gd",746,"Y",127,44,"60","RL","Feedr","2Story",30,29,100.312082032992
308,"1Fam","None",0,"TA","Y",1035,1406,"Fa",0,"N",0,144,"50","RM","Artery","1.5Fin",100,70,63.6557610241821
309,"1Fam","None",0,"TA","Y",861,861,"TA",539,"Y",158,0,"30","RL","Norm","1Story",80,70,95.8188153310105
310,"1Fam","None",0,"Gd","Y",1944,1944,"Ex",708,"Y",208,175,"20","RL","Norm","1Story",17,16,185.185185185185
311,"1Fam","BrkFace",112,"TA","Y",697,1501,"Gd",420,"Y",190,63,"60","RL","Norm","2Story",27,26,110.326449033977
312,"1Fam","None",0,"TA","Y",972,972,"TA",240,"Y",0,0,"20","RL","Norm","1Story",72,18,135.802469135802
313,"2fmCon","None",0,"TA","Y",793,1118,"TA",410,"Y",0,0,"190","RM","Artery","1.5Fin",81,70,107.245080500894
314,"1Fam","None",0,"TA","Y",2036,2036,"TA",513,"Y",0,0,"20","RL","Norm","1Story",55,55,184.184675834971
315,"1Fam","None",0,"TA","Y",832,1641,"Ex",546,"Y",0,0,"70","RM","Norm","2Story",95,30,108.470444850701
316,"1Fam","None",0,"Gd","Y",716,1432,"Gd",432,"Y",100,51,"60","RL","Norm","2Story",16,15,131.63407821229
317,"1Fam","BrkFace",278,"Gd","Y",1153,2353,"Ex",484,"Y",288,195,"60","RL","Norm","2Story",40,40,110.497237569061
318,"1Fam","None",0,"Gd","Y",1088,1959,"Gd",1025,"Y",208,46,"60","FV","Norm","2Story",14,14,137.825421133231
319,"1Fam","BrkFace",256,"Gd","Y",1372,2646,"Gd",656,"Y",340,60,"60","RL","Norm","2Story",27,27,98.2615268329554
320,"1Fam","BrkFace",225,"TA","Y",1472,1472,"TA",588,"Y",233,48,"80","RL","Norm","SLvl",40,40,127.377717391304
321,"1Fam","Stone",370,"TA","Y",1249,2596,"Gd",840,"Y",240,154,"60","RL","Norm","2Story",14,14,131.988828967643
322,"1Fam","BrkFace",388,"Gd","Y",1136,2468,"Gd",872,"Y",184,154,"60","RL","Norm","2Story",16,16,143.435980551053
323,"1Fam","BrkFace",172,"Gd","Y",1553,2730,"Gd",576,"Y",201,96,"60","RL","Norm","2Story",34,33,110.25641025641
324,"1Fam","None",0,"TA","Y",1163,1163,"TA",220,"Y",142,98,"20","RM","Norm","1Story",65,15,108.490971625107
325,"1Fam","BrkFace",300,"Gd","Y",1898,2978,"Gd",564,"Y",240,0,"80","RL","PosN","SLvl",53,13,81.2625923438549
326,"1Fam","None",0,"TA","N",803,803,"TA",360,"Y",0,0,"OTHERS","RM","RRAe","1.5Unf",79,70,108.343711083437
327,"TwnhsE","None",0,"Gd","Y",1719,1719,"Gd",473,"Y",122,30,"120","RL","Norm","1Story",27,27,188.48167539267
328,"1Fam","BrkFace",175,"TA","Y",1383,1383,"TA",292,"Y",0,45,"20","RL","Norm","1Story",60,60,105.025307302965
329,"1Fam","None",0,"TA","N",1445,2134,"Gd",441,"Y",0,60,"OTHERS","RL","PosN","2.5Unf",104,26,100.515463917526
330,"1Fam","None",0,"TA","N",596,1192,"TA",189,"N",0,0,"70","RM","Norm","2Story",100,70,65.4362416107383
331,"Duplex","BrkFace",84,"TA","Y",1728,1728,"TA",352,"Y",155,0,"90","RL","Norm","1Story",56,56,68.8657407407407
332,"1Fam","None",0,"TA","Y",1056,1056,"TA",308,"Y",0,0,"20","RL","Norm","1Story",62,28,131.628787878788
333,"1Fam","BrkFace",296,"Gd","Y",1629,1629,"Gd",880,"Y",0,0,"20","RL","Norm","1Story",17,16,174.340085942296
334,"TwnhsE","Stone",146,"Gd","Y",1358,1358,"Gd",484,"Y",192,30,"120","RM","Norm","1Story",16,16,152.430044182622
335,"1Fam","None",0,"TA","Y",943,1638,"TA",472,"Y",100,38,"60","RL","Norm","2Story",22,22,117.216117216117
336,"2fmCon","None",0,"TA","Y",1619,1786,"TA",529,"Y",670,0,"190","RL","Norm","1.5Fin",55,55,128.191489361702
337,"1Fam","Stone",200,"Gd","Y",1922,1922,"Gd",676,"Y",178,51,"20","RL","Norm","1Story",15,14,196.371488033299
338,"1Fam","BrkFace",113,"Gd","Y",1536,1536,"Gd",532,"Y",192,74,"20","RL","Norm","1Story",18,17,139.322916666667
339,"1Fam","None",0,"Gd","Y",1621,1621,"Gd",440,"Y",108,45,"20","RL","Norm","1Story",36,22,124.922887106724
340,"1Fam","BrkFace",176,"TA","Y",1215,1215,"TA",297,"Y",0,0,"20","RL","Feedr","1Story",62,22,127.572016460905
341,"1Fam","None",0,"Gd","Y",993,1908,"Gd",431,"Y",135,0,"60","RL","Norm","2Story",18,18,106.341719077568
342,"1Fam","None",0,"Fa","Y",841,841,"TA",294,"N",250,0,"20","OTHER","Feedr","1Story",70,70,97.5029726516052
343,"Duplex","BrkFace",340,"TA","N",1040,1040,"TA",400,"Y",0,0,"90","RL","Norm","1Story",71,70,84.1346153846154
344,"TwnhsE","BrkFace",616,"Ex","Y",1684,1684,"Ex",564,"Y",495,72,"120","RL","Norm","1Story",15,15,157.957244655582
345,"TwnhsE","None",0,"TA","Y",536,1112,"TA",336,"Y",182,0,"160","RM","Norm","2Story",44,44,76.4388489208633
346,"1Fam","None",0,"TA","Y",972,1577,"Fa",312,"Y",0,0,"50","RL","RRAn","1.5Fin",81,70,88.9029803424223
347,"1Fam","None",0,"TA","Y",958,958,"TA",301,"Y",0,0,"20","RL","Norm","1Story",60,22,158.141962421712
348,"1Fam","BrkFace",30,"TA","Y",1478,1478,"TA",498,"Y",0,40,"20","RL","Norm","1Story",60,60,106.562922868742
349,"Twnhs","Stone",106,"Gd","Y",764,1626,"Gd",474,"Y",0,27,"160","RL","Norm","2Story",17,16,94.7109471094711
350,"1Fam","BrkFace",870,"Ex","Y",1848,2728,"Ex",706,"Y",0,0,"60","RL","Norm","2Story",15,14,160.24706744868
351,"TwnhsE","BrkFace",362,"Ex","Y",1869,1869,"Ex",617,"Y",210,54,"120","RL","Norm","1Story",13,13,170.177100053505
352,"1Fam","None",0,"TA","Y",1453,1453,"Gd",445,"Y",0,80,"120","RL","Norm","1Story",34,34,130.763936682725
353,"1Fam","None",0,"TA","N",616,1111,"TA",200,"Y",48,0,"50","RL","Artery","1.5Fin",79,70,85.5085508550855
354,"1Fam","None",0,"TA","Y",720,720,"TA",484,"Y",106,0,"30","RM","Norm","1Story",92,17,147.083333333333
355,"1Fam","None",0,"TA","Y",1192,1595,"TA",240,"Y",0,0,"50","RL","Norm","1.5Fin",80,20,87.7742946708464
356,"1Fam","None",0,"Gd","Y",1200,1200,"Gd",521,"Y",0,26,"20","RL","Norm","1Story",25,25,147.916666666667
357,"1Fam","BrkFace",106,"TA","Y",1167,1167,"Gd",400,"Y",120,26,"20","RL","Norm","1Story",28,28,148.243359040274
358,"TwnhsE","None",0,"TA","Y",1142,1142,"TA",528,"Y",536,90,"120","RM","Norm","1Story",44,44,117.338003502627
359,"1Fam","BrkFace",120,"TA","Y",1352,1352,"Gd",288,"Y",168,0,"80","RL","Norm","SLvl",62,62,96.1538461538462
360,"1Fam","BrkFace",530,"Gd","Y",1086,1924,"Gd",592,"Y",208,75,"60","RL","Norm","2Story",22,22,145.530145530146
361,"1Fam","None",0,"TA","Y",912,912,"TA",470,"Y",0,0,"OTHERS","RL","Norm","SFoyer",42,42,171.052631578947
362,"1Fam","None",0,"TA","Y",988,1505,"TA",240,"N",0,0,"50","RL","Norm","1.5Fin",80,38,96.3455149501661
363,"1Fam","BrkFace",500,"Gd","Y",495,1922,"Gd",672,"Y",0,0,"OTHERS","RL","Norm","SFoyer",17,17,103.277835587929
364,"Twnhs","BrkFace",510,"TA","Y",483,987,"Gd",264,"Y",250,0,"160","RM","Norm","2Story",48,13,119.554204660588
365,"1Fam","BrkFace",120,"TA","Y",790,1574,"TA",566,"Y",306,111,"60","RL","Norm","2Story",44,44,120.711562897078
366,"1Fam","None",0,"TA","Y",672,1344,"TA",468,"Y",0,128,"70","RM","Norm","2Story",100,23,109.375
367,"1Fam","BrkFace",247,"TA","Y",1394,1394,"TA",514,"Y",0,76,"20","RL","Norm","1Story",57,57,114.060258249641
368,"1Fam","BrkFace",305,"TA","Y",1431,1431,"TA",296,"Y",64,110,"80","RL","Norm","SLvl",58,58,115.303983228512
369,"1Fam","BrkFace",200,"TA","Y",1268,1268,"TA",244,"Y",0,98,"20","RL","Norm","1Story",66,66,104.10094637224
370,"1Fam","None",0,"TA","Y",1287,1287,"Gd",576,"Y",364,17,"20","RL","Norm","1Story",61,14,125.874125874126
371,"1Fam","None",0,"TA","Y",953,1664,"TA",460,"Y",100,40,"60","RL","Norm","2Story",20,20,103.605769230769
372,"1Fam","None",0,"TA","Y",1120,1588,"TA",680,"N",0,59,"50","RL","Feedr","1.5Fin",61,61,84.6549118387909
373,"TwnhsE","None",0,"TA","Y",752,752,"TA",264,"Y",353,0,"120","RL","Norm","1Story",36,36,166.223404255319
374,"1Fam","None",0,"TA","Y",1319,1319,"TA",270,"Y",66,0,"20","RL","Norm","1Story",67,67,93.2524639878696
375,"1Fam","None",0,"Gd","Y",847,1928,"Gd",434,"Y",100,48,"60","RL","Norm","2Story",17,16,113.848547717842
376,"1Fam","None",0,"Fa","N",904,904,"Fa",0,"Y",0,0,"30","RL","Norm","1Story",98,70,67.4778761061947
377,"1Fam","None",0,"Gd","Y",914,914,"TA",576,"Y",0,0,"OTHERS","RL","Norm","SFoyer",24,24,161.925601750547
378,"1Fam","None",0,"Gd","Y",1580,2466,"Gd",610,"Y",159,214,"60","FV","Norm","2Story",16,15,137.875101378751
379,"1Fam","Stone",350,"Gd","Y",1856,1856,"Ex",834,"Y",113,0,"20","RL","Norm","1Story",10,10,197.01709064438
380,"1Fam","BrkFace",16,"TA","Y",1007,1800,"TA",463,"Y",100,63,"60","RL","RRAn","2Story",20,20,99.4444444444444
381,"1Fam","None",0,"TA","Y",1026,1691,"Gd",308,"Y",0,0,"50","RL","Norm","1.5Fin",96,70,75.103489059728
382,"1Fam","None",0,"Gd","Y",1301,1301,"Gd",572,"Y",216,121,"20","FV","Norm","1Story",14,14,144.312067640277
383,"1Fam","None",0,"Gd","Y",939,1797,"Gd",639,"Y",144,53,"60","RL","Norm","2Story",14,14,118.809126321647
384,"1Fam","None",0,"TA","N",784,784,"TA",360,"N",0,0,"OTHERS","OTHER","Norm","1.5Unf",92,70,96.9387755102041
385,"1Fam","None",0,"Gd","Y",1079,1953,"Gd",501,"Y",216,231,"60","RL","Feedr","2Story",28,28,122.887864823349
386,"TwnhsE","BrkFace",16,"Gd","Y",1269,1269,"Gd",430,"Y",146,20,"120","RL","Norm","1Story",16,15,151.300236406619
387,"1Fam","None",0,"TA","Y",658,1184,"TA",0,"N",0,151,"50","RL","Feedr","1.5Fin",110,24,68.4121621621622
388,"1Fam","BrkFace",255,"TA","Y",1125,1125,"TA",352,"Y",296,0,"80","RL","Norm","SLvl",44,44,111.111111111111
389,"1Fam","BrkFace",125,"Gd","Y",1479,1479,"Gd",577,"Y",120,25,"20","RL","Norm","1Story",21,20,129.141311697093
390,"1Fam","Stone",272,"Ex","Y",1742,2332,"Ex",846,"Y",196,134,"60","RL","Norm","2Story",13,12,182.675814751286
391,"1Fam","None",0,"TA","Y",961,1367,"TA",384,"Y",0,130,"50","RL","Norm","1.5Fin",120,70,87.0519385515728
392,"1Fam","None",0,"TA","Y",804,1961,"Gd",560,"Y",125,192,"60","RL","Norm","2Story",19,18,109.637939826619
393,"1Fam","None",0,"TA","Y",882,882,"TA",294,"Y",0,0,"20","RL","Norm","1Story",61,61,120.748299319728
394,"1Fam","None",0,"TA","Y",788,788,"TA",0,"Y",0,0,"30","RL","Feedr","1Story",79,70,126.903553299492
395,"1Fam","None",0,"TA","Y",735,1034,"TA",240,"Y",0,39,"50","RL","Norm","1.5Fin",80,70,105.41586073501
396,"1Fam","None",0,"TA","Y",1144,1144,"TA",596,"Y",44,0,"20","RL","Norm","1Story",64,64,112.762237762238
397,"1Fam","None",0,"TA","Y",894,894,"TA",600,"Y",215,0,"20","RL","Norm","1Story",48,48,137.58389261745
398,"1Fam","BrkFace",288,"TA","Y",876,1812,"TA",264,"Y",0,168,"60","RL","PosN","2Story",58,58,93.5430463576159
399,"1Fam","None",0,"TA","Y",1077,1077,"TA",338,"N",0,0,"30","RM","Norm","1Story",100,70,62.2098421541318
400,"1Fam","Stone",100,"Gd","Y",1112,1550,"Gd",438,"Y",0,168,"60","FV","Norm","2Story",14,13,155.483870967742
401,"TwnhsE","None",0,"Gd","Y",1288,1288,"Ex",500,"Y",120,30,"120","RL","Norm","1Story",24,24,190.605590062112
402,"1Fam","None",0,"Gd","Y",1310,1310,"Gd",400,"Y",0,0,"20","RL","Norm","1Story",15,15,125.946564885496
403,"1Fam","None",0,"TA","Y",672,672,"TA",240,"N",168,0,"30","RL","Norm","1Story",80,23,160.714285714286
404,"1Fam","BrkFace",650,"Gd","Y",1165,2263,"Gd",420,"Y",144,123,"60","RL","Norm","2Story",22,22,114.007954043305
405,"1Fam","None",0,"TA","Y",806,1572,"TA",373,"Y",0,40,"60","RL","Norm","2Story",25,24,106.870229007634
406,"1Fam","None",0,"TA","Y",1620,1620,"TA",490,"Y",120,78,"20","RL","Feedr","1Story",44,27,92.5925925925926
407,"1Fam","None",0,"TA","Y",1166,1639,"TA",240,"Y",0,0,"50","RL","Norm","1.5Fin",84,70,70.1647345942648
408,"1Fam","None",0,"TA","Y",840,1680,"TA",308,"Y",0,0,"70","RL","Norm","2Story",105,44,105.357142857143
409,"1Fam","BrkFace",350,"Gd","Y",1071,2172,"Gd",947,"Y",192,62,"60","RL","Norm","2Story",14,14,128.913443830571
410,"1Fam","Stone",100,"Gd","Y",1050,2078,"Ex",836,"Y",0,102,"60","FV","Norm","2Story",13,12,163.498556304139
